Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;TRANSFORMAR CENTRO EDUCACIONAL;35477497;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"TRAJANO VIEIRA DE MACEDO, 10 RUA. JARDIM DAS INDUSTRIAS. 12240-090 São José dos Campos - SP.";(12) 33025243;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2290128;-45.9165202
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;A MAGIA DO PENSAR ESCOLA DE EDUCACAO INFANTIL;35478064;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOSE MARIO DE OLIVEIRA, 42 RUA. CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO. 12237-820 São José dos Campos - SP.";(12) 30186711;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-23.2447362;-45.9178413
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;VALERIA APARECIDA DE ALMEIDA VASCONCELOS PROFA EMEI;35478350;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"ARCILIO MOREIRA DA SILVA, 191 ESTRADA. RESIDENCIAL GAZZO. 12236-852 São José dos Campos - SP.";(12) 39318887;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.2633369;-45.9005208
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CARROSSEL ENCANTADO ESCOLA DE EDUCACAO INFANTIL;35480599;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"PRUDENTE DE MORAIS PRESIDENTE, 188 RUA. SANTANA. 12212-120 São José dos Campos - SP.";(12) 39410595;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1602253;-45.9011681
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MARECHAL DO AR CASIMIRO MONTENEGRO FILHO ESCOLA;35482845;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA MARECHAL DO AR EDUARDO GOMES, 50 VILA DAS ACACIAS. 12228-901 São José dos Campos - SP.";(12) 39474075;Federal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2013496;-45.8735507
ESCOLA PARALISADA;PROVISAO CENTRO DE PREVENCAO E REABILITACAO DE DEF VISAO;35482857;SP;São José dos Campos;Urbana;Não Informado;Privada;"RUA ANTONIO CAMPOS MELLO, BOSQUE DOS EUCALIPTOS. 12233-040 São José dos Campos - SP.";(12) 39193200;Privada;Não Informado;Não;;;;;;
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE PROFESSORA KARLA PRYSCILA NUNES DE OLIVEIRA;35483151;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ALZIRIO LEBRAO, 486 RUA. ALTO DA PONTE. 12212-500 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.1521736;-45.8983385
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE CAIC CAMPO DOS ALEMAES;35483163;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"NELSON JOSE DE CARVALHO FERREIRA, 91 RUA. CAMPO DOS ALEMAES. 12239-170 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.2758662;-45.8979564
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE JARDIM PAULISTA;35483175;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ANA GONCALVES DA CUNHA, 351 RUA. MONTE CASTELO. 12215-390 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.1872114;-45.8699598
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE LESTE JARDIM RODOLFO;35483187;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RODOLFO SCARPA, 361 RUA. JARDIM RODOLFO. 12224-838 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.1745781;-45.8131377
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE EMBRAER PUTIM;35483199;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOAO RODOLFO CASTELLI, 96 AVENIDA. PUTIM. 12228-000 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.2443875;-45.8415903
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE PROFESSOR JORGE LUIZ ALEGRE;35483205;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ANTONIO SAES, 485 RUA. CENTRO. 12210-040 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.1877303;-45.8814498
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE DOM BOSCO CP ALEMAES;35483242;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA JOAO DE OLIVEIRA E SILVA, 757 RUA. CAMPO DOS ALEMAES. 12239-250 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.2761251;-45.8978774
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNID PROF ARNOLDO ROBERTO NASCIMENTO;35483254;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ADILSON JOSE DA CRUZ, 81 AVENIDA. CONJUNTO RESIDENCIAL DOM PEDRO I. 12232-750 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.2757445;-45.887961
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE PETROBRAS CPO SAO JOSE;35483266;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ALEXANDRE DE SOUZA ROBERTO TERCEIRO-SARGENTO-POLICIA MILITAR, 20 RUA. CAMPOS DE SAO JOSE. 12226-370 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.215185;-45.8072349
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE PROFESSOR BERNARDO ALBERTO ROHDE;35483278;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"HELCIO PERICLES DE FARIA, SN RUA. PORTAL DE MINAS. 12211-145 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.159417;-45.8909936
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE SEDE PARQUE INDUSTRIAL;35483312;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"SANTAREM, 560 RUA. PARQUE INDUSTRIAL. 12235-550 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.2301882;-45.9062614
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE PARQUE INDUSTRIAL;35483321;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"SANTAREM, 562 RUA. PARQUE INDUSTRIAL. 12235-550 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.2300318;-45.9062555
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE EUGENIO DE MELLO;35483333;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOSE LEITE DA SILVA, 60 RUA. EUGENIO DE MELLO. 12247-200 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.1388462;-45.7856604
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;FUNDHAS UNIDADE PROFISSIONALIZANTE EUGENIO DE MELLO;35483357;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"SETE DE SETEMBRO, 550 RUA. EUGENIO DE MELLO. 12247-230 São José dos Campos - SP.";(12) 39320528;Privada;Comunitária;Sim;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;-23.136873;-45.7832941
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FUTURO DA GENTE EDUCACAO INFANTIL;35483459;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"TIJUCA, 531 RUA. JARDIM SATELITE. 12230-020 São José dos Campos - SP.";(12) 33411777;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2283821;-45.8808362
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;IFSP - CAMPUS SAO JOSE DOS CAMPOS;35493582;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RODOVIA PRESIDENTE DUTRA, S/N PORTARIA P4. JARDIM DIAMANTE. 12223-201 São José dos Campos - SP.";(12) 39014440;Federal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação Profissional";;-23.1913093051729;-45.8505551145641
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;HELIO WALTER BEVILACQUA PROFESSOR EMEF;35495300;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA OSCAR FERREIRA DA SILVA, 155 RUA. JARDIM REPUBLICA. 12234-831 São José dos Campos - SP.";(12) 39392310;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-23.2892958;-45.8982216
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JARDIM REPUBLICA;35495529;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA OSCAR FERREIRA DA SILVA, 155 RUA. JARDIM REPUBLICA. 12234-831 São José dos Campos - SP.";(12) 39441447;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";;-23.2894019463212;-45.8980470629891
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LUCIA MARIA DO AMARAL PROFESSORA EMEI;35497071;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"JOSE BENEDITO DE ALMEIDA PENA, 140 RUA. JARDIM SANTA LUZIA. 12228-858 São José dos Campos - SP.";(12) 39129819;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil;Atendimento Educacional Especializado;-23.2369087;-45.8302762
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;DIACONO HAMILTON BONTORIM DE SOUZA PROFESSOR;35497095;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RIO DO PEIXE, 351 RUA. ALTOS DA VILA PAIVA. 12213-078 São José dos Campos - SP.";(12) 39318415;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";Atividade Complementar;-23.14358459;-45.91993321
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;FERNANDO TAO DE AZEVEDO IMI;35497435;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"BAMBUI, 250 RUA. JARDIM SATELITE. 12230-130 São José dos Campos - SP.";(12) 39318990;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.2260477;-45.8844759
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;JARDIM DOS SONHOS CENTRO DE EDUCACAO INFANTIL;35497897;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOSE LENIR SILVESTRE, 471 RUA. CIDADE MORUMBI. 12236-480 São José dos Campos - SP.";(12) 33076320;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-23.2498561;-45.8980844
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSPIRE COLEGIO;35499067;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"DUTRA PRESIDENTE, 0 KM 145. VILA TATETUBA. 12220-611 São José dos Campos - SP.";(12) 40094321;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-23.1940232170962;-45.8590071089993
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MOPPE BAMBINI BERCARIO;35510361;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CARLOS CHAGAS, 346 RUA. JARDIM ESPLANADA. 12242-730 São José dos Campos - SP.";(12) 32044610;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1979523;-45.9010614
ESCOLA PARALISADA;BAIRRO DA AGUA SOCA DE CIMA;35514159;SP;São José dos Campos;Rural;Não Informado;Pública;"ESTRADA MUNICIPAL AGUA SOCA, VILA INDUSTRIAL. 12220-000 São José dos Campos - SP.";;Estadual;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;BAIRRO TURVO DE BAIXO;35542787;SP;São José dos Campos;Rural;A escola não está em área de localização diferenciada;Pública;"ESTRADA MUNICIPAL DO TURVO, S/N TURVO. 12213-690 São José dos Campos - SP.";(12) 39234690;Estadual;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;-23.05562933;-45.96559447
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ANGELICA BABY BERCARIO E EDUCACAO INFANTIL;35560868;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"FORTALEZA, 1242 AVENIDA. PARQUE INDUSTRIAL. 12235-560 São José dos Campos - SP.";(12) 39332811;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2355147;-45.9085047
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PETUTTY EDUCACAO INFANTIL;35560984;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CAXIAS DUQUE, 60 PRACA. JARDIM PAULISTA. 12216-050 São José dos Campos - SP.";(12) 39133623;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1899936;-45.8775941
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ALPHA LUMEN INSTITUTO;35561320;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CLOVIS BEVILACQUA, 868 RUA. JARDIM ESPLANADA. 12242-790 São José dos Campos - SP.";(12) 33072999;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-23.2011168217286;-45.9032709337771
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MAPLE BEAR CANADIAN SCHOOL SJCAMPOS;35561575;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"LINEU DE MOURA, 1095 AVENIDA. URBANOVA. 12244-380 São José dos Campos - SP.";(12) 32098318;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.197188810467;-45.9179586265664
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PLURAL UNIDADE II COLEGIO;35561708;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"BENEDITO DA SILVA RAMOS, 445 RUA. JARDIM ESPLANADA II. 12242-650 São José dos Campos - SP.";(12) 33086210;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.1946896;-45.9010165
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PLURAL COLEGIO UNIDADE I;35561861;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"FLORIPES BICUDO MARTINS, 161 PRACA. JARDIM ESPLANADA. 12242-471 São José dos Campos - SP.";(12) 32044340;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-23.197937;-45.9089937
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;OSWALDO COPPIO NEI;35564624;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FREDIANO BIANCHI FILHO, 151 RUA. JARDIM SAO JOSE II. 12248-674 São José dos Campos - SP.";(12) 39291267;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1694568;-45.7779556
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;HELENA VAZ DE LIMA SOLIVA PROFA IMI;35564849;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"FRANCISCO JOSE LONGO ENGENHEIRO, 526 AVENIDA. JARDIM SAO DIMAS. 12245-000 São José dos Campos - SP.";(12) 39128383;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1976386;-45.8894814
ESCOLA PARALISADA;UNIVERSIDADE PAULISTA UNIP CAMPUS SAO JOSE DOS CAMPOS;35567437;SP;São José dos Campos;Urbana;Não Informado;Privada;"RODOVIA PRESIDENTE DUTRA, S/Nº JARDIM DAS INDUSTRIAS. 12240-420 São José dos Campos - SP.";(12) 21369000;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CURSO EXITO;35568612;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"ALFREDO IGNACIO NOGUEIRA PENIDO, 614 AVENIDA. PARQUE RESIDENCIAL AQUARIUS. 12246-000 São José dos Campos - SP.";(12) 39232293;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Profissional;;-23.2162946;-45.9039076
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CONSTRUINDO O FUTURO CENTRO EDUCACIONAL;35568648;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"AVENIDA PROFESSOR SEBASTIAO PAULO DE TOLEDO PONTES, 685 AVENIDA. VILA INDUSTRIAL. 12220-380 São José dos Campos - SP.";(12) 30297687;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1756513;-45.8559485
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;HELENA FERREIRA PROFESSORA IMI;35571222;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"WALDIR GAIOSO, 535 RUA. MONTE CASTELO. 12215-580 São José dos Campos - SP.";(12) 39118691;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1875098;-45.8685752
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL PRIMEIROS PASSOS;35577856;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"SALIM SIMAO, 162 RUA. BOSQUE DOS EUCALIPTOS. 12233-820 São José dos Campos - SP.";(12) 33415704;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.260293;-45.8871665
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EDUCANDARIO QUINTAL DA CRIANCA;35578228;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"VINTE E NOVE DE JUNHO, 395 RUA. JARDIM DAS CEREJEIRAS. 12225-520 São José dos Campos - SP.";(12) 39073768;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-23.1929883;-45.7893033
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMMANUEL ANTONIO DOS SANTOS EMEF;35581297;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA DAS CEREJAS, 150 RUA. RESIDENCIAL FREI GALVAO. 12248-701 São José dos Campos - SP.";(12) 39298970;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;"Atendimento Educacional Especializado, Atividade Complementar";-23.1682633;-45.7897439
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ELIANA DE OLIVEIRA SANTOS CRUZ PROFA IMI;35582578;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Pública;"CELSO NEGRAO, 150 RUA. RESIDENCIAL ARMANDO MOREIRA RIGHI. 12247-806 São José dos Campos - SP.";(12) 39123793;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-23.1363036;-45.7668207
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL PRIMEIROS PASSOS;35585841;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOANA SOARES FERREIRA, 731 RUA. CIDADE MORUMBI. 12236-420 São José dos Campos - SP.";(12) 30199353;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2518901;-45.9020045
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO EDUCACIONAL ELEMENTAR;35585890;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"DRACO, 53 RUA. JARDIM SATELITE. 12230-450 São José dos Campos - SP.";(12) 32061931;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2245616;-45.8880972
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO INFANTIL EDUCA BABY E KIDS;35587941;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CARLOS BELMIRO DOS SANTOS, 433 RUA. SANTANA. 12212-050 São José dos Campos - SP.";(12) 39413090;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.1621746;-45.8988806
ESCOLA PARALISADA;TORRAO DE OURO NEI DO;35639285;SP;São José dos Campos;Urbana;Não Informado;Pública;"RUA A, PARQUE INTERLAGOS. 12229-520 São José dos Campos - SP.";(12) 39441806;Municipal;Não Informado;Não;;;;;;
ESCOLA PARALISADA;FATIMA APARECIDA BERTHOUD INSTITUTO MATERNO INF;35659712;SP;São José dos Campos;Urbana;Não Informado;Pública;"RUA ELOY PORTO, EUGENIO DE MELLO. 12247-160 São José dos Campos - SP.";(12) 39052153;Municipal;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;PRESBITERIANA ESCOLA DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL;35801732;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"JOSE FRANCISCO MARCONDES, 187 AVENIDA. JARDIM SAO VICENTE. 12224-350 São José dos Campos - SP.";(12) 32069970;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.1718663;-45.816207
ESCOLA PARALISADA;OBJETIVO JUNIOR-UNIDADE AQUARIUS CENTRO EDUCACIONAL;35802918;SP;São José dos Campos;Urbana;Não Informado;Privada;"RODRIGO REIS TUY, 1200 AVENIDA. JARDIM SERIMBURA. 12242-014 São José dos Campos - SP.";(12) 39042100;Privada;Não Informado;Não;;;;;-23.212002;-45.9010798
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;SAO BENTO INSTITUTO;35802924;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"OURO FINO, 320 AVENIDA. BOSQUE DOS EUCALIPTOS. 12233-400 São José dos Campos - SP.";(12) 39171757;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2381054;-45.8881889
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;QUERUBIM ESCOLA BERCARIO E EDUCACAO INFANTIL;35802931;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MANOEL BOSCO RIBEIRO, 1187 RUA. JARDIM DAS INDUSTRIAS. 12241-070 São José dos Campos - SP.";(12) 39336629;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.231325;-45.9218909
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LUMENS COLEGIO;35802979;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"CARLOS DE CAMPOS, 175 RUA. JARDIM ESPLANADA. 12242-540 São José dos Campos - SP.";(12) 39239233;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;Atividade Complementar;-23.2011327;-45.9047663
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NOSSA ESCOLA;35802980;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA CLAUDINO PINTO, 53 RUA. CENTRO. 12210-010 São José dos Campos - SP.";(12) 39413099;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-23.18839;-45.8841
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NOSSA SENHORA APARECIDA CECOI;35802992;SP;São José dos Campos;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SEBASTIAO HUMEL, 780 RUA. CENTRO. 12210-200 São José dos Campos - SP.";(12) 39212708;Privada;Particular;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-23.1809673;-45.8795457
